case:concept:name,concept:name,org:resource,time:timestamp,lifecycle:transition
0,Leucocytes,B,2021-01-01 00:00:00,COMPLETE
1,Leucocytes,B,2021-01-01 06:45:43,COMPLETE
2,ER Registration,A,2021-01-01 13:29:27,COMPLETE
2,IV Liquid,A,2021-01-01 13:41:27,COMPLETE
0,Leucocytes,B,2021-01-01 14:33:07,COMPLETE
2,ER Triage,C,2021-01-01 15:44:24,COMPLETE
2,CRP,B,2021-01-01 15:54:46,COMPLETE
1,Leucocytes,B,2021-01-01 20:10:28,COMPLETE
3,ER Triage,C,2021-01-01 20:18:35,COMPLETE
3,ER Registration,A,2021-01-01 20:33:36,COMPLETE
3,IV Liquid,A,2021-01-01 20:45:13,COMPLETE
3,ER Sepsis Triage,A,2021-01-01 21:06:31,COMPLETE
3,CRP,B,2021-01-01 21:30:17,COMPLETE
2,CRP,B,2021-01-02 01:53:44,COMPLETE
0,Leucocytes,B,2021-01-02 02:42:02,COMPLETE
4,ER Triage,C,2021-01-02 03:00:30,COMPLETE
4,ER Registration,A,2021-01-02 03:03:41,COMPLETE
4,IV Liquid,A,2021-01-02 03:13:31,COMPLETE
4,CRP,B,2021-01-02 04:12:30,COMPLETE
1,Leucocytes,B,2021-01-02 05:44:07,COMPLETE
5,ER Sepsis Triage,A,2021-01-02 09:40:03,COMPLETE
5,ER Triage,C,2021-01-02 10:00:09,COMPLETE
5,IV Liquid,A,2021-01-02 10:06:56,COMPLETE
5,ER Registration,A,2021-01-02 10:44:36,COMPLETE
5,CRP,B,2021-01-02 10:55:44,COMPLETE
0,ER Sepsis Triage,A,2021-01-02 13:49:07,COMPLETE
0,IV Liquid,A,2021-01-02 14:11:26,COMPLETE
3,CRP,B,2021-01-02 15:18:29,COMPLETE
0,ER Registration,A,2021-01-02 15:24:09,COMPLETE
0,ER Triage,C,2021-01-02 15:35:29,COMPLETE
4,CRP,B,2021-01-02 15:39:12,COMPLETE
0,CRP,B,2021-01-02 15:43:17,COMPLETE
6,ER Sepsis Triage,L,2021-01-02 16:26:31,COMPLETE
6,ER Triage,C,2021-01-02 16:45:32,COMPLETE
6,IV Liquid,A,2021-01-02 16:52:07,COMPLETE
6,ER Registration,A,2021-01-02 17:35:21,COMPLETE
6,CRP,B,2021-01-02 17:47:44,COMPLETE
1,ER Sepsis Triage,A,2021-01-02 17:56:57,COMPLETE
