case:concept:name,concept:name,org:resource,time:timestamp,lifecycle:transition
0,register request,Pete,2021-01-01 00:00:00,COMPLETE
1,register request,Pete,2021-01-01 03:00:15,COMPLETE
2,register request,Ellen,2021-01-01 05:59:10,COMPLETE
3,register request,Pete,2021-01-01 09:01:41,COMPLETE
0,examine casually,Sue,2021-01-01 11:38:21,COMPLETE
4,register request,Ellen,2021-01-01 11:59:23,COMPLETE
5,register request,Mike,2021-01-01 14:55:31,COMPLETE
1,check ticket,Mike,2021-01-01 15:55:44,COMPLETE
6,register request,Pete,2021-01-01 17:56:16,COMPLETE
2,examine thoroughly,Sean,2021-01-01 18:07:38,COMPLETE
3,examine casually,Sue,2021-01-01 19:19:43,COMPLETE
7,register request,Mike,2021-01-01 20:57:10,COMPLETE
8,register request,Pete,2021-01-01 23:55:54,COMPLETE
4,examine casually,Mike,2021-01-02 00:09:32,COMPLETE
9,register request,Mike,2021-01-02 02:54:47,COMPLETE
5,check ticket,Ellen,2021-01-02 02:56:32,COMPLETE
6,check ticket,Mike,2021-01-02 05:34:22,COMPLETE
10,register request,Pete,2021-01-02 05:54:29,COMPLETE
11,register request,Pete,2021-01-02 08:54:42,COMPLETE
7,examine thoroughly,Sean,2021-01-02 09:38:01,COMPLETE
12,register request,Pete,2021-01-02 11:53:43,COMPLETE
8,check ticket,Mike,2021-01-02 12:29:37,COMPLETE
9,check ticket,Mike,2021-01-02 12:58:06,COMPLETE
13,register request,Pete,2021-01-02 14:53:10,COMPLETE
14,register request,Pete,2021-01-02 17:55:50,COMPLETE
10,check ticket,Mike,2021-01-02 18:39:56,COMPLETE
11,check ticket,Mike,2021-01-02 20:08:26,COMPLETE
15,register request,Pete,2021-01-02 20:55:14,COMPLETE
16,register request,Pete,2021-01-02 23:56:00,COMPLETE
12,examine casually,Mike,2021-01-03 00:54:45,COMPLETE
13,check ticket,Mike,2021-01-03 02:12:12,COMPLETE
17,register request,Mike,2021-01-03 02:55:18,COMPLETE
18,register request,Mike,2021-01-03 05:54:50,COMPLETE
14,examine thoroughly,Sue,2021-01-03 06:49:38,COMPLETE
19,register request,Pete,2021-01-03 08:53:38,COMPLETE
0,check ticket,Pete,2021-01-03 09:20:38,COMPLETE
15,examine casually,Mike,2021-01-03 10:38:56,COMPLETE
16,examine casually,Mike,2021-01-03 11:12:18,COMPLETE
20,register request,Mike,2021-01-03 11:53:26,COMPLETE
1,examine casually,Sean,2021-01-03 14:45:01,COMPLETE
21,register request,Pete,2021-01-03 14:53:51,COMPLETE
17,check ticket,Mike,2021-01-03 15:20:45,COMPLETE
4,check ticket,Mike,2021-01-03 17:21:26,COMPLETE
22,register request,Pete,2021-01-03 17:52:42,COMPLETE
19,check ticket,Mike,2021-01-03 19:40:09,COMPLETE
18,examine casually,Ellen,2021-01-03 19:47:14,COMPLETE
23,register request,Ellen,2021-01-03 20:51:06,COMPLETE
3,check ticket,Mike,2021-01-03 22:48:31,COMPLETE
6,examine casually,Sean,2021-01-03 23:46:09,COMPLETE
20,check ticket,Ellen,2021-01-03 23:47:59,COMPLETE
24,register request,Mike,2021-01-03 23:51:10,COMPLETE
25,register request,Pete,2021-01-04 02:51:05,COMPLETE
5,examine thoroughly,Sean,2021-01-04 03:01:41,COMPLETE
21,examine casually,Mike,2021-01-04 03:24:16,COMPLETE
22,examine thoroughly,Sue,2021-01-04 04:33:07,COMPLETE
26,register request,Mike,2021-01-04 05:52:09,COMPLETE
23,check ticket,Mike,2021-01-04 08:23:38,COMPLETE
27,register request,Pete,2021-01-04 08:53:07,COMPLETE
9,examine casually,Mike,2021-01-04 08:55:20,COMPLETE
8,examine casually,Ellen,2021-01-04 11:45:38,COMPLETE
28,register request,Ellen,2021-01-04 11:52:29,COMPLETE
10,examine casually,Mike,2021-01-04 13:42:45,COMPLETE
24,examine casually,Mike,2021-01-04 13:45:19,COMPLETE
29,register request,Pete,2021-01-04 14:51:41,COMPLETE
26,examine thoroughly,Sean,2021-01-04 15:16:13,COMPLETE
2,check ticket,Pete,2021-01-04 16:31:56,COMPLETE
25,check ticket,Mike,2021-01-04 16:41:54,COMPLETE
30,register request,Pete,2021-01-04 17:50:48,COMPLETE
11,examine casually,Sean,2021-01-04 19:58:29,COMPLETE
31,register request,Ellen,2021-01-04 20:47:20,COMPLETE
12,check ticket,Mike,2021-01-04 21:32:44,COMPLETE
13,examine casually,Ellen,2021-01-04 22:32:07,COMPLETE
27,examine casually,Mike,2021-01-04 23:12:29,COMPLETE
32,register request,Pete,2021-01-04 23:48:19,COMPLETE
28,examine casually,Mike,2021-01-05 01:23:36,COMPLETE
29,check ticket,Mike,2021-01-05 02:40:29,COMPLETE
33,register request,Ellen,2021-01-05 02:49:29,COMPLETE
15,check ticket,Ellen,2021-01-05 03:48:24,COMPLETE
30,check ticket,Mike,2021-01-05 05:15:56,COMPLETE
34,register request,Ellen,2021-01-05 05:49:58,COMPLETE
7,check ticket,Pete,2021-01-05 05:52:38,COMPLETE
0,decide,Sara,2021-01-05 06:07:51,COMPLETE
35,register request,Ellen,2021-01-05 08:46:49,COMPLETE
16,check ticket,Pete,2021-01-05 08:56:08,COMPLETE
31,examine casually,Mike,2021-01-05 10:27:06,COMPLETE
17,examine thoroughly,Sean,2021-01-05 10:40:21,COMPLETE
4,decide,Sara,2021-01-05 10:43:04,COMPLETE
3,decide,Sara,2021-01-05 11:44:16,COMPLETE
36,register request,Pete,2021-01-05 11:44:47,COMPLETE
32,check ticket,Mike,2021-01-05 12:56:50,COMPLETE
33,examine casually,Mike,2021-01-05 13:07:39,COMPLETE
37,register request,Mike,2021-01-05 14:42:32,COMPLETE
20,examine casually,Mike,2021-01-05 14:55:33,COMPLETE
34,check ticket,Mike,2021-01-05 15:33:01,COMPLETE
38,register request,Mike,2021-01-05 17:43:27,COMPLETE
6,decide,Sara,2021-01-05 19:02:12,COMPLETE
1,decide,Sara,2021-01-05 19:43:22,COMPLETE
18,check ticket,Mike,2021-01-05 20:16:28,COMPLETE
39,register request,Mike,2021-01-05 20:44:31,COMPLETE
36,examine casually,Mike,2021-01-05 21:05:45,COMPLETE
19,examine casually,Sean,2021-01-05 21:20:49,COMPLETE
35,examine casually,Mike,2021-01-05 21:35:23,COMPLETE
40,register request,Ellen,2021-01-05 23:47:39,COMPLETE
14,check ticket,Mike,2021-01-06 00:15:03,COMPLETE
21,check ticket,Ellen,2021-01-06 00:21:09,COMPLETE
37,check ticket,Pete,2021-01-06 02:34:43,COMPLETE
