case:concept:name,concept:name,org:resource,time:timestamp,lifecycle:transition
0,register request,Pete,2021-01-01 00:00:00,COMPLETE
1,register request,Pete,2021-01-01 03:00:15,COMPLETE
2,register request,Ellen,2021-01-01 05:59:10,COMPLETE
0,examine casually,Mike,2021-01-01 08:35:13,COMPLETE
3,register request,Mike,2021-01-01 09:01:41,COMPLETE
4,register request,Ellen,2021-01-01 11:59:23,COMPLETE
5,register request,Mike,2021-01-01 14:55:31,COMPLETE
1,check ticket,Mike,2021-01-01 15:04:34,COMPLETE
2,examine thoroughly,Sue,2021-01-01 17:18:22,COMPLETE
6,register request,Pete,2021-01-01 17:56:16,COMPLETE
7,register request,Ellen,2021-01-01 20:57:10,COMPLETE
3,examine casually,Ellen,2021-01-01 21:10:01,COMPLETE
4,examine casually,Mike,2021-01-01 23:14:03,COMPLETE
8,register request,Pete,2021-01-01 23:55:54,COMPLETE
9,register request,Pete,2021-01-02 02:54:47,COMPLETE
5,check ticket,Ellen,2021-01-02 03:47:14,COMPLETE
6,check ticket,Mike,2021-01-02 05:36:22,COMPLETE
10,register request,Mike,2021-01-02 05:54:29,COMPLETE
11,register request,Ellen,2021-01-02 08:54:42,COMPLETE
7,examine casually,Mike,2021-01-02 09:45:27,COMPLETE
8,examine casually,Mike,2021-01-02 11:17:51,COMPLETE
12,register request,Ellen,2021-01-02 11:53:43,COMPLETE
9,check ticket,Mike,2021-01-02 13:12:46,COMPLETE
13,register request,Ellen,2021-01-02 14:53:10,COMPLETE
14,register request,Pete,2021-01-02 17:55:50,COMPLETE
11,check ticket,Mike,2021-01-02 18:23:04,COMPLETE
10,examine casually,Ellen,2021-01-02 19:59:06,COMPLETE
15,register request,Pete,2021-01-02 20:55:14,COMPLETE
12,examine casually,Mike,2021-01-02 23:21:14,COMPLETE
16,register request,Pete,2021-01-02 23:56:00,COMPLETE
13,check ticket,Mike,2021-01-03 02:30:36,COMPLETE
17,register request,Pete,2021-01-03 02:55:18,COMPLETE
14,examine thoroughly,Sue,2021-01-03 03:55:44,COMPLETE
18,register request,Mike,2021-01-03 05:54:50,COMPLETE
0,check ticket,Ellen,2021-01-03 06:46:23,COMPLETE
19,register request,Mike,2021-01-03 08:53:38,COMPLETE
15,examine casually,Mike,2021-01-03 10:18:59,COMPLETE
20,register request,Ellen,2021-01-03 11:53:26,COMPLETE
16,examine casually,Mike,2021-01-03 12:14:18,COMPLETE
1,examine casually,Ellen,2021-01-03 12:58:56,COMPLETE
21,register request,Pete,2021-01-03 14:53:51,COMPLETE
17,check ticket,Mike,2021-01-03 16:15:12,COMPLETE
18,check ticket,Ellen,2021-01-03 17:20:12,COMPLETE
4,check ticket,Mike,2021-01-03 17:50:45,COMPLETE
22,register request,Pete,2021-01-03 17:52:42,COMPLETE
3,check ticket,Mike,2021-01-03 19:24:33,COMPLETE
23,register request,Mike,2021-01-03 20:51:06,COMPLETE
5,examine thoroughly,Sean,2021-01-03 22:34:04,COMPLETE
19,examine casually,Sean,2021-01-03 23:00:16,COMPLETE
24,register request,Pete,2021-01-03 23:51:10,COMPLETE
20,check ticket,Mike,2021-01-04 00:00:16,COMPLETE
6,examine casually,Mike,2021-01-04 00:29:54,COMPLETE
25,register request,Pete,2021-01-04 02:51:05,COMPLETE
21,check ticket,Mike,2021-01-04 03:30:11,COMPLETE
11,examine casually,Mike,2021-01-04 04:59:52,COMPLETE
22,examine thoroughly,Sue,2021-01-04 05:30:00,COMPLETE
26,register request,Mike,2021-01-04 05:52:09,COMPLETE
2,check ticket,Mike,2021-01-04 06:55:55,COMPLETE
23,examine thoroughly,Sean,2021-01-04 07:18:45,COMPLETE
27,register request,Pete,2021-01-04 08:53:07,COMPLETE
7,check ticket,Mike,2021-01-04 08:58:23,COMPLETE
8,check ticket,Ellen,2021-01-04 09:28:00,COMPLETE
24,examine casually,Mike,2021-01-04 11:13:34,COMPLETE
28,register request,Pete,2021-01-04 11:52:29,COMPLETE
9,examine casually,Mike,2021-01-04 12:01:29,COMPLETE
12,check ticket,Ellen,2021-01-04 12:20:27,COMPLETE
29,register request,Pete,2021-01-04 14:51:41,COMPLETE
10,check ticket,Mike,2021-01-04 15:08:31,COMPLETE
25,check ticket,Mike,2021-01-04 16:19:35,COMPLETE
26,examine thoroughly,Sean,2021-01-04 17:49:59,COMPLETE
30,register request,Pete,2021-01-04 17:50:48,COMPLETE
31,register request,Pete,2021-01-04 20:47:20,COMPLETE
27,examine casually,Sue,2021-01-04 20:55:30,COMPLETE
1,decide,Sara,2021-01-04 21:58:17,COMPLETE
32,register request,Ellen,2021-01-04 23:48:19,COMPLETE
28,examine casually,Mike,2021-01-05 00:55:02,COMPLETE
15,check ticket,Ellen,2021-01-05 02:08:51,COMPLETE
33,register request,Mike,2021-01-05 02:49:29,COMPLETE
13,examine casually,Ellen,2021-01-05 03:24:01,COMPLETE
29,check ticket,Mike,2021-01-05 03:34:39,COMPLETE
3,decide,Sara,2021-01-05 03:40:03,COMPLETE
34,register request,Ellen,2021-01-05 05:49:58,COMPLETE
0,decide,Sara,2021-01-05 06:04:28,COMPLETE
17,examine thoroughly,Sean,2021-01-05 06:21:10,COMPLETE
4,decide,Sara,2021-01-05 06:39:35,COMPLETE
30,check ticket,Mike,2021-01-05 07:09:07,COMPLETE
35,register request,Pete,2021-01-05 08:46:49,COMPLETE
31,check ticket,Mike,2021-01-05 09:44:33,COMPLETE
36,register request,Ellen,2021-01-05 11:44:47,COMPLETE
32,examine casually,Mike,2021-01-05 12:30:29,COMPLETE
18,examine thoroughly,Sean,2021-01-05 12:33:38,COMPLETE
37,register request,Mike,2021-01-05 14:42:32,COMPLETE
33,examine thoroughly,Sean,2021-01-05 15:02:39,COMPLETE
16,check ticket,Mike,2021-01-05 16:10:36,COMPLETE
34,examine thoroughly,Sue,2021-01-05 16:55:46,COMPLETE
38,register request,Mike,2021-01-05 17:43:27,COMPLETE
2,decide,Sara,2021-01-05 18:45:44,COMPLETE
21,examine casually,Mike,2021-01-05 19:42:34,COMPLETE
35,examine casually,Mike,2021-01-05 20:28:15,COMPLETE
39,register request,Mike,2021-01-05 20:44:31,COMPLETE
19,check ticket,Pete,2021-01-05 20:53:36,COMPLETE
14,check ticket,Mike,2021-01-05 20:57:14,COMPLETE
11,decide,Sara,2021-01-05 22:03:36,COMPLETE
40,register request,Ellen,2021-01-05 23:47:39,COMPLETE
7,decide,Sara,2021-01-05 23:57:40,COMPLETE
